dataset,sample,assigned_cell_type,n_cells,PARK7_pct_detected,PARK7_mean_log2CPM,PARK7_median_log2CPM,PARK7_positive_mean_log2CPM,PARK7_detection_rank_within_sample
GSE148071,GSM4453608_P33,Fibroblasts,1,100.0,9.719265622112172,9.719265622112172,9.719265622112172,1.0
GSE148071,GSM4453608_P33,Mast cells,2,50.0,4.5866747644222485,4.5866747644222485,9.173349528844497,5.0
GSE148071,GSM4453608_P33,Myeloid cells,31,61.29032258064516,4.945574598036329,6.760526010300463,8.069095396796115,3.0
GSE148071,GSM4453608_P33,Plasma cells,15,53.333333333333336,4.560872026121422,6.918233837222778,8.551635048977667,4.0
GSE148071,GSM4453609_P34,B cells,3,66.66666666666666,6.134648749216487,8.306321296618288,9.20197312382473,3.0
GSE148071,GSM4453609_P34,Endothelial cells,3,0.0,0.0,0.0,0.0,7.0
GSE148071,GSM4453609_P34,Epithelial/tumor,122,71.31147540983606,5.555547286106199,7.373084988251813,7.790537573620186,2.0
GSE148071,GSM4453609_P34,Myeloid cells,803,41.96762141967621,3.3342716680896447,0.0,7.944866912391645,4.0
GSE148071,GSM4453609_P34,NK cells,4,75.0,6.36555227701821,8.244608181766035,8.487403036024281,1.0
GSE148071,GSM4453609_P34,Plasma cells,26,26.923076923076923,2.130531013508973,0.0,7.913400907319043,6.0
GSE148071,GSM4453609_P34,T cells,11,36.36363636363637,3.0349653685934057,0.0,8.346154763631866,5.0
GSE148071,GSM4453610_P35,B cells,117,28.205128205128204,2.5084468378663014,0.0,8.89358424334416,6.0
GSE148071,GSM4453610_P35,Endothelial cells,14,42.857142857142854,3.850969168356569,0.0,8.985594726165328,2.0
GSE148071,GSM4453610_P35,Epithelial/tumor,369,47.96747967479675,3.9298093189750576,0.0,8.19265332599885,1.0
GSE148071,GSM4453610_P35,Fibroblasts,28,25.0,2.243233961399938,0.0,8.97293584559975,7.0
GSE148071,GSM4453610_P35,Low-confidence/other,7,14.285714285714285,1.401847931234609,0.0,9.812935518642263,9.0
GSE148071,GSM4453610_P35,Mast cells,84,19.047619047619047,1.691919757164416,0.0,8.882578725113184,8.0
GSE148071,GSM4453610_P35,Myeloid cells,253,35.573122529644266,3.008295877447267,0.0,8.45665396660176,4.0
GSE148071,GSM4453610_P35,Plasma cells,190,40.526315789473685,3.3608800046069747,0.0,8.293080530848378,3.0
