dataset,sample,cell_group,n_cells,PARK7_cutoff_log2CPM,UPR_ER_stress_score_high_mean,UPR_ER_stress_score_low_mean,UPR_ER_stress_score_delta_high_minus_low,UPR_ER_stress_score_mannwhitney_p,NRF2_redox_score_high_mean,NRF2_redox_score_low_mean,NRF2_redox_score_delta_high_minus_low,NRF2_redox_score_mannwhitney_p,Ribosome_translation_score_high_mean,Ribosome_translation_score_low_mean,Ribosome_translation_score_delta_high_minus_low,Ribosome_translation_score_mannwhitney_p,Apoptosis_DDR_score_high_mean,Apoptosis_DDR_score_low_mean,Apoptosis_DDR_score_delta_high_minus_low,Apoptosis_DDR_score_mannwhitney_p,UPR_ER_stress_score_mannwhitney_fdr,NRF2_redox_score_mannwhitney_fdr,Ribosome_translation_score_mannwhitney_fdr,Apoptosis_DDR_score_mannwhitney_fdr
GSE148071,GSM4453583_P8,Plasma cells,212,8.16184109603293,5.50824626704162,5.627271891077043,-0.11902562403542305,0.7279714898601057,3.0717171824273892,2.1741156781995943,0.8976015042277949,0.002621554248407111,9.552021667032422,9.162960703955093,0.38906096307732874,0.5246806736628449,1.2118376080772417,0.931935645682893,0.2799019623943487,0.12142864878458784,0.8836542102951311,0.006453056611463658,0.9327656420672797,0.5931812970639164
GSE148071,GSM4453583_P8,B-lineage combined,342,8.16184109603293,4.772123119675357,4.566434964521701,0.20568815515365646,0.613643360977756,3.0865309526488116,1.9566386669765627,1.1298922856722489,9.974225041430637e-07,9.51441067017814,9.532262735610228,-0.017852065432087727,0.9157470132924675,1.0638189281990493,0.7905618168190518,0.27325711137999753,0.12439999878264432,0.80334599478127,6.8394685998381506e-06,1.0,0.5931812970639164
GSE148071,GSM4453584_P9,Plasma cells,202,8.226018987095816,6.3260076859734555,5.846402450996967,0.4796052349764883,0.20805198392113688,3.445151055481465,1.7191052183955475,1.7260458370859173,1.4462112854155305e-07,8.346560239358228,7.655158995961263,0.6914012433969647,0.022959579471045724,1.2705598021467241,1.0716906796568348,0.1988691224898893,0.37281391066576275,0.7849039587552451,1.2621480309080995e-06,0.16954766378618383,0.7261521618059471
GSE148071,GSM4453584_P9,B-lineage combined,203,8.226018987095816,6.244978964904309,5.846402450996967,0.39857651390734183,0.3055540079630493,3.504936722007239,1.7191052183955475,1.7858315036116916,5.6961639992242285e-08,8.346726355381742,7.655158995961263,0.6915673594204792,0.020715647361588284,1.2786716821072757,1.0716906796568348,0.20698100245044082,0.3078973860554213,0.7849039587552451,5.46831743925526e-07,0.16572517889270627,0.7261521618059471
GSE148071,GSM4453585_P10,Plasma cells,118,7.609737899320654,6.653314259855985,6.824135837068573,-0.17082157721258806,0.6030437382416438,3.9518871620436817,3.1198736829264218,0.83201347911726,0.0832124291960031,9.124128711806113,8.603718055465928,0.5204106563401858,0.2803616157831538,1.5748469304303585,2.166085837563787,-0.5912389071334285,0.12517191981016199,0.80334599478127,0.11094990559467079,0.7082819767153359,0.5931812970639164
GSE148071,GSM4453585_P10,B-lineage combined,123,7.609737899320654,6.562599500512684,6.787253456787608,-0.22465395627492413,0.4815610298531441,4.065982654607626,3.1221715872402287,0.9438110673673972,0.03529005431865814,9.18696132857757,8.643437430790332,0.5435238977872388,0.22389580114431484,1.5912567745315371,2.1369893160069235,-0.5457325414753864,0.10989654449605797,0.7970665321707213,0.05841112438950314,0.5809188354014655,0.5931812970639164
GSE148071,GSM4453586_P11,B cells,124,7.993383286427973,4.489896915496558,4.255775289273589,0.23412162622296862,0.6276140584228672,4.2841895937571595,3.201985001077324,1.0822045926798354,0.00024062820076354937,10.211750719521056,9.751510791181875,0.46023992833918115,0.4895388137022426,3.5579504434394567,3.390763116066557,0.16718732737289965,0.6882877222073391,0.80334599478127,0.000796562319768991,0.9214848257924567,0.8810082844253941
GSE148071,GSM4453586_P11,Plasma cells,92,7.993383286427973,5.584651640909746,5.704428686154025,-0.11977704524427946,0.8094492522170585,4.311374657583474,3.1405897932248528,1.170784864358621,0.010343797276986004,10.071492431900538,9.489367450028393,0.5821249818721448,0.33231197447213356,3.682287948756487,2.807073271149844,0.875214677606643,0.10762706034222715,0.9329206839490581,0.019860090771813124,0.7780963304713372,0.5931812970639164
GSE148071,GSM4453586_P11,B-lineage combined,216,7.993383286427973,4.841782362950797,4.925777485330789,-0.08399512237999218,0.6271904291315651,4.292927649987045,3.1735897174455565,1.1193379325414887,6.624215148951584e-06,10.166667698500175,9.630269495898391,0.5363982026017844,0.1785423029169425,3.5979160701485022,3.120806562792578,0.4771095073559244,0.12629642152757634,0.80334599478127,3.346971864733432e-05,0.4779080020444919,0.5931812970639164
GSE148071,GSM4453587_P12,B cells,145,8.09568094140363,2.9704621278743253,3.115161734022573,-0.14469960614824773,0.32064286678264786,2.6999148227968126,1.658300645180129,1.0416141776166836,0.00042705709010699657,9.22437251632275,9.396261139263453,-0.17188862294070262,0.3409239602237041,0.8851668133450133,0.6755271305350501,0.20963968280996326,0.41369078967768935,0.7849039587552451,0.0012811712703209898,0.7792547662256093,0.7637368424818881
