TCGA_patient,CD79B,TP63,HMOX1,CD40,GSR,CD79A,NKG7,NFE2L2,PARK7,EPCAM,CAT,JCHAIN,TXN,SOD1,MS4A1,CD3D,MZB1,CD19,NQO1,KRT5,LST1,GPX1,B_lineage_marker_module,NRF2_redox_marker_module,Squamous_epithelial_module
TCGA-21-5786,2.1546804136914064,6.611349459401986,4.544948982157202,5.609622007822102,5.351706058422641,7.075628893194298,4.359190819538742,5.292527783105627,7.558553878972578,7.407379096061059,5.466441143293917,8.733679723851884,7.905166145952989,7.596761501801456,1.2083299657306903,4.177248098755316,6.779025907073738,1.9292986555680052,3.477431245486105,13.61049699631912,3.0431169877200617,8.836732080459136,4.784323652418875,6.058964367584884,9.209741850594055
TCGA-21-5787,2.447605643511622,1.4027767406791576,5.658956920641705,5.978666991722858,5.832586256917407,5.971065258629709,7.916656372980235,5.344100575979821,8.334515986319035,8.33337587567404,6.658721335352061,8.747674057128107,10.28498090889485,8.109582045406368,1.847155088893736,7.0703356552025065,5.609536319636803,1.8358432487387435,8.533306758031838,5.124985635702219,4.086061898437197,10.080391450039322,4.633935229751654,7.562828281407922,4.953712750685139
TCGA-21-A5DI,0.7798060127206756,7.364824531731847,4.324421800873836,6.723740115566865,5.895557106580637,1.954829095868468,4.173023466122965,8.151036840526585,7.807161046885205,6.757065929161296,5.898510696546727,3.241641913751617,9.584877401746072,7.930930669394575,0.8372974156630684,4.146467868119024,1.920560088363093,0.8184415757641648,6.502072772690467,13.166330649665396,2.442784293129422,8.787329610841116,2.3251880310997075,7.1343421124000015,9.096073703519513
TCGA-22-0940,2.4672533917061794,6.44640677851213,6.811852461964195,6.675115862342661,7.10770565184377,6.382815940880271,6.824118647046943,7.281644472546175,7.592855405297406,6.659409422032314,5.815465275710795,11.878348849848784,10.63485478403775,8.800725536777064,3.100187143698447,5.992111274901002,6.47156141987292,2.321206566969903,9.396944224085,12.42933000148808,4.81649731148601,9.447584568627429,5.613784167902738,8.16209712194902,8.511715400677508
TCGA-22-0944,1.490672809713238,8.27414096563499,5.947401996936795,4.047704146087456,7.529721796871623,5.050749816173793,2.6893662610703517,8.461593221302323,7.077291073721533,8.377155858803745,5.685595407396155,8.971448999723124,10.379042673970035,7.610942882373409,1.822281466295707,2.9439213265534856,4.930888694348599,1.689030727184873,8.212809573483321,11.304125572713742,1.9760703006957343,8.913883615030045,4.000396665646684,7.842623895920464,9.318474132384159
TCGA-22-1000,2.9855186460363625,6.667577104313956,6.536481913850492,6.083087818527472,5.755098547667425,7.003702295444282,5.251968986638594,6.877686590066402,7.383569519456784,5.638540175259815,5.7976744938407885,10.782425192914154,9.623792255925588,7.705275038516083,2.071899931565633,5.388027621033777,7.350140949352254,2.557459106410548,5.596312025891557,12.506037862674056,5.416826233469055,9.628618507354174,5.547747705750102,7.190117421639064,8.270718380749276
TCGA-22-1002,2.9829114584894443,7.031259540214343,5.665682690865258,5.277371099590302,5.280833857666178,6.390579990475604,5.027627380280929,7.326559818170322,7.335668147240279,6.889580621185121,6.613300319909812,9.60995160135251,8.385499201198169,7.698260852600898,3.707314953183108,4.171190811620531,5.705413979628617,2.6247559844996595,4.846207456511681,11.996127391077447,3.993855479702099,8.60463847251038,5.185471295317035,6.802622833679087,8.638989184158971
TCGA-22-1005,4.334546823855564,1.637471139884759,5.5775255080241175,5.2417601163432845,4.7244701964392695,8.49289266437233,6.053895480111149,5.04401372233859,6.747799577716039,7.186197455259005,4.784352167408705,10.675968408670755,7.534017233635591,6.843754009244248,4.609607234360142,6.019099183197402,8.827483076316966,4.639376888638463,4.581935679399006,4.839732889243428,3.690852855483693,8.284369304948049,6.688805030365358,5.921804727679697,4.554467161462397
TCGA-22-1011,3.919464036373556,7.155207837172425,5.236450523216914,5.769073492059458,6.6053372787276246,8.655279548925408,4.380632489933608,6.606160887012925,7.2423414558721,6.37050084686698,5.783178984804516,11.54070543704511,8.060952568090206,7.486737699200392,4.403124536614662,4.936039538116772,8.296454195260388,3.961447379138499,3.994434904396223,11.801613630955728,3.527745971281797,8.366000850924465,6.649364089345298,6.517406712046658,8.442440771665046
TCGA-22-1012,2.227433038036978,8.323367366707886,7.0165063484817125,5.67464707801851,6.630098178731432,5.309587308625556,4.821123426943073,7.1661982392770565,8.071235482263413,8.558396221686078,5.316373861274323,8.623422826596862,9.808456488550798,8.077114791662424,2.8997750172957306,4.415366576551097,5.468801594458565,2.4561227438382223,6.38992984892257,11.075859361170966,3.740042464686733,9.223454166466569,4.665684229552917,7.453516490420861,9.319207649854976
TCGA-22-1016,2.22490464410609,5.608832893220042,9.897819142459769,5.533852979413568,6.0075812451457296,4.585497400958862,4.923700665774331,6.723041075202224,7.70212696177295,7.519326452909217,6.498833254045011,8.528315011456833,8.568973776279302,7.289748719634302,2.6344306366501336,3.727964006963646,5.123649644098186,2.1905200469051342,4.945991546822538,11.748096848460882,4.7695813417102135,9.118952230213951,4.403024337655544,7.381367623725353,8.292085398196715
TCGA-22-1017,1.685626241250911,1.5399776571582264,7.166614027009298,5.097016573798296,5.74269342989132,5.417268569256008,5.217928625630823,6.587001870991315,8.244174952210269,9.89243686839869,6.983318572145896,9.596462984911796,9.528634021297703,7.789340620653823,1.8646516947115084,6.12100710958673,5.700914064867187,1.75411785955205,8.709138623578792,1.211136826982275,4.108407363733329,9.16876060739917,4.445151141192537,7.7094377216209145,4.214517117513064
TCGA-22-4591,1.3829438695689906,6.771358729655502,6.283984722206552,5.633480616874048,7.685971675528088,3.651212460175628,4.213355059044234,7.979800718773876,8.231492890695089,10.482041037631337,7.295137086172429,8.053265592290765,9.685160334530474,8.056632296530102,1.9432087085884464,4.451824332979937,3.5619370596224327,1.2577951343833698,9.08445338269796,11.562636678365646,2.978525141677095,9.08241306765046,3.6405490630719544,8.144194160511244,9.605345481884163
TCGA-22-4593,1.3002994736656384,7.123300965975868,5.395696924827155,6.221948595537787,6.399584698270235,4.2394820588439766,4.25068876926797,6.291087796666259,7.683846610275553,6.843905980620121,5.728138203418927,5.888704289518798,8.469040602965054,7.87909798139649,0.3400494728531664,3.64843092837903,3.765736285268873,0.9235675679325586,6.406155674398675,12.423034473860609,2.708981768862232,9.367065010938138,3.239969677660114,6.991983361610116,8.796747140152199
TCGA-22-4594,4.059268741009558,0.7175612770144881,5.608806286330198,4.583488997304853,7.569207009100663,7.733996901867275,5.370303799426338,5.458867545772614,7.605606928890867,8.672989579974605,6.251122579620199,11.602707957215296,8.954462718984873,7.621399896251266,3.582917233673434,5.4140915477090354,8.06656121903151,3.678376191506248,9.47954868682824,2.2516282113157544,4.218835403420281,8.961797519955747,6.186759605944025,7.488151530355475,3.8807263561016154
TCGA-22-4595,1.947890537797171,7.111888909962477,6.126310065085813,4.694362066416483,5.55250618480176,6.067406393983264,5.276630655861423,5.450439269653688,7.269041564646034,8.249509339347757,5.705073861252602,8.71458657167778,8.728530068557916,7.880842837044607,1.6399267127487973,4.482693423769153,6.29168090633456,2.23624768384352,1.9792571212158132,10.655114132896342,3.609152137629671,8.739660127051375,4.5131572675430816,6.270327441832947,8.672170794068858
TCGA-22-4596,3.733864075116582,2.384381422712236,7.545087259427482,6.273017872554971,6.185680251231864,6.563347303897488,5.599526088588318,5.991789385927109,7.584888861282422,8.089722707014452,6.5421419483914605,10.56669920491235,8.914352839345446,7.640523324193665,4.221699245969391,6.3398357539743495,6.511942365572802,3.282306353249859,7.511480690001186,5.337739631807244,6.004730587259137,9.965109955700244,5.878982345896205,7.537020706777307,5.2706145871779775
TCGA-22-4599,2.4987104139886647,8.516985077439658,5.821090253532458,5.680470644556009,7.242073687582606,6.150118921158334,6.2851118010161136,7.859199930462653,7.336822512245171,7.904151083527622,5.803035835669149,8.859999666152813,10.858071083023423,8.263805327834623,1.2043911629297803,6.402662495289646,6.924040484918515,1.7314873921985987,7.979002114250578,11.972212046529217,4.847395658352504,8.793668980888528,4.72131695512896,7.827493401655502,9.46444940249883
TCGA-22-4601,1.2316781617985106,7.870651380501164,5.470852440451444,6.507269784234451,7.418219469583865,4.483983410300573,3.7402152089182574,10.083660816259696,7.860733790320652,9.177954407092225,6.591091437198536,7.406245829815129,10.143569055837007,8.239721194877973,0.7838337802389753,4.0135962500276285,4.524145188754011,1.2822618665876495,8.160291977430653,10.114354530425832,2.9182335602263114,7.88763797688913,3.7456311459613283,7.999380546066038,9.054320106006408
TCGA-22-4604,2.3278597875422933,8.24117711207834,6.507287229645365,5.695350802253966,5.785608091003164,5.781682316525903,5.279553011380912,7.275317201044485,7.175009546072443,7.908346381731769,5.605491370706513,9.786413563200954,9.13731523361265,7.304592264130474,1.554294143442739,5.09820477480451,6.224867996075781,1.7849645667430236,4.00565149421928,11.681494419107738,4.189864084230107,9.228452680429603,4.736490453683523,6.856214445598942,9.277005970972615
