gene,avg_log2FC,mean_log2CPM_PARK7_high,mean_log2CPM_PARK7_low,pct_high,pct_low,max_pct,excluded_manual_redox_or_anchor,excluded_low_detection,eligible_for_CMap,PARK7_group_cutoff_log2CPM,n_B_lineage_cells,n_PARK7_high,n_PARK7_low,CMap_direction
RPL29,0.8311507235726472,4.468133074460214,3.6369823508875667,0.974666666666657,0.8624161073825609,0.974666666666657,False,False,True,1.807956270505679,2538,750,1788,UP
RPL18,0.8302297806798009,4.664773284021675,3.834543503341874,0.9853333333333234,0.8752796420581763,0.9853333333333234,False,False,True,1.807956270505679,2538,750,1788,UP
RPS21,0.8240256139532858,3.868525226790015,3.0444996128367294,0.9679999999999905,0.8232662192393836,0.9679999999999905,False,False,True,1.807956270505679,2538,750,1788,UP
RPS5,0.8226420409454938,3.725919618182665,2.903277577237171,0.9506666666666577,0.7941834451901661,0.9506666666666577,False,False,True,1.807956270505679,2538,750,1788,UP
RPL34,0.8221082089469132,5.228120905907966,4.406012696961053,0.9866666666666567,0.9049217002237249,0.9866666666666567,False,False,True,1.807956270505679,2538,750,1788,UP
FAU,0.8198057009060755,4.253182737796619,3.4333770368905436,0.9679999999999905,0.8450782997762967,0.9679999999999905,False,False,True,1.807956270505679,2538,750,1788,UP
RPL19,0.8182340314232102,4.924383012501126,4.106148981077916,0.9893333333333233,0.8859060402684673,0.9893333333333233,False,False,True,1.807956270505679,2538,750,1788,UP
RPL22,0.8151830805590743,3.9955170162740843,3.18033393571501,0.9773333333333236,0.8400447427293167,0.9773333333333236,False,False,True,1.807956270505679,2538,750,1788,UP
MT-ND2,-0.42256664247927933,3.963956932872974,4.386523575352253,0.9679999999999905,0.9502237136465443,0.9679999999999905,False,False,True,1.807956270505679,2538,750,1788,DOWN
MALAT1,-0.4202370017926036,8.160200436232328,8.580437438024932,0.9986666666666564,0.9960850111856949,0.9986666666666564,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ND5,-0.41564755998805447,3.1149559462489522,3.5306035062370067,0.9266666666666583,0.916107382550347,0.9266666666666583,False,False,True,1.807956270505679,2538,750,1788,DOWN
IGKC,-0.39391301088626696,2.5000255536030425,2.8939385644893094,0.6093333333333335,0.5855704697986641,0.6093333333333335,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-CYB,-0.38513841320027353,4.753591942085168,5.138730355285442,0.974666666666657,0.9602908277405042,0.974666666666657,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ATP6,-0.36599821432545987,5.502015738306444,5.8680139526319035,0.9866666666666567,0.9692393736018019,0.9866666666666567,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ND4,-0.36263852501630556,5.077999618771568,5.440638143787874,0.9839999999999901,0.9658836689038153,0.9839999999999901,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ND3,-0.35766716523148556,4.887476240678794,5.245143405910279,0.9799999999999902,0.9563758389261865,0.9799999999999902,False,False,True,1.807956270505679,2538,750,1788,DOWN
NEAT1,-0.35211149375778517,3.101181947841588,3.453293441599373,0.86266666666666,0.8344519015660057,0.86266666666666,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ND4L,-0.33316306412682284,2.214122591800807,2.54728565592763,0.8693333333333265,0.8406040268456478,0.8693333333333265,False,False,True,1.807956270505679,2538,750,1788,DOWN
JCHAIN,-0.3316189810563219,0.7263659890801497,1.0579849701364716,0.22399999999999964,0.24328859060402813,0.24328859060402813,False,False,True,1.807956270505679,2538,750,1788,DOWN
IGHG4,-0.3241430963860602,0.7520349379282055,1.0761780343142657,0.3546666666666677,0.3249440715883694,0.3546666666666677,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-CO3,-0.30658025893746554,5.1133710376835335,5.419951296620999,0.9799999999999902,0.9658836689038153,0.9799999999999902,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-CO1,-0.2894443641201363,5.866398788498562,6.155843152618698,0.9866666666666567,0.9731543624161196,0.9866666666666567,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ND1,-0.2788407271147273,4.0734928361493585,4.352333563264086,0.9693333333333238,0.9395973154362534,0.9693333333333238,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-CO2,-0.2787643820639243,5.820122359965818,6.098886742029742,0.9906666666666566,0.9720357941834574,0.9906666666666566,False,False,True,1.807956270505679,2538,750,1788,DOWN
SPP1,-0.22332054864755835,0.9891248630009987,1.212445411648557,0.40933333333333516,0.4183445190156639,0.4183445190156639,False,False,True,1.807956270505679,2538,750,1788,DOWN
IGHA1,-0.22320666495152586,0.8605490434374101,1.083755708388936,0.36666666666666786,0.349552572706938,0.36666666666666786,False,False,True,1.807956270505679,2538,750,1788,DOWN
SYNE2,-0.19497545477810796,0.5609818366904233,0.7559572914685313,0.4080000000000018,0.4060402684563796,0.4080000000000018,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ATP8,-0.15802775213564046,0.5646897488067545,0.722717500942395,0.40933333333333516,0.4054809843400485,0.40933333333333516,False,False,True,1.807956270505679,2538,750,1788,DOWN
TTN,-0.14314859820347325,0.542924432806118,0.6860730310095913,0.3453333333333342,0.32941834451901825,0.3453333333333342,False,False,True,1.807956270505679,2538,750,1788,DOWN
MT-ND6,-0.1370286302107953,0.4591101001574603,0.5961387303682556,0.3626666666666678,0.3461968680089514,0.3626666666666678,False,False,True,1.807956270505679,2538,750,1788,DOWN
AP000769.1,-0.12916438650431894,0.8952808959393787,1.0244452824436976,0.46933333333333604,0.45246085011186127,0.46933333333333604,False,False,True,1.807956270505679,2538,750,1788,DOWN
IGHA2,-0.12628279034441037,0.09996029664495219,0.22624308698936255,0.04133333333333332,0.06543624161073834,0.06543624161073834,False,False,True,1.807956270505679,2538,750,1788,DOWN
MZB1,-0.12161141739671649,0.28183734631959523,0.4034487637163117,0.10266666666666681,0.12136465324384742,0.12136465324384742,False,False,True,1.807956270505679,2538,750,1788,DOWN
