row_id,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006620,GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,4/189,16/18860,0.25,24.9470899470899,9.64123418239532,1.61813864719278e-05,0.00123849695196132,0.00112256519302716,SEC61G/SEC61A1/HSPA5/SEC61B,4
GO:0030490,GO:0030490,maturation of SSU-rRNA,6/189,54/18860,0.111111111111111,11.08759553204,7.46866134590304,1.62004562953894e-05,0.00123849695196132,0.00112256519302716,RPS8/RPS14/RPS28/RPS16/RPS21/RPS19,6
GO:0035967,GO:0035967,cellular response to topologically incorrect protein,8/189,124/18860,0.0645161290322581,6.43795869602321,6.11244199957147,3.58443548559822e-05,0.00264889782385709,0.00240094292702,DERL3/SDF2L1/XBP1/MANF/DNAJB9/HSPA5/ERLEC1/AGR2,8
GO:0030968,GO:0030968,endoplasmic reticulum unfolded protein response,7/189,94/18860,0.074468085106383,7.43104806934594,6.28877807898432,4.45689419587408e-05,0.00318739820395252,0.00288903599997406,DERL3/XBP1/MANF/DNAJB9/HSPA5/ERLEC1/AGR2,7
GO:1902229,GO:1902229,regulation of intrinsic apoptotic signaling pathway in response to DNA damage,5/189,41/18860,0.121951219512195,12.1693121693122,7.2032175133881,5.3598310845395e-05,0.00371335797325752,0.00336576234881115,RPL26/RPS3/TPT1/CD74/MUC1,5
GO:0036498,GO:0036498,IRE1-mediated unfolded protein response,4/189,22/18860,0.181818181818182,18.1433381433381,8.09460719039525,6.20457529433459e-05,0.00407088353020026,0.00368982107596909,XBP1/DNAJB9/HSPA5/AGR2,4
GO:2001233,GO:2001233,regulation of apoptotic signaling pathway,14/189,406/18860,0.0344827586206897,3.44097792373654,5.0025110104481,6.28279923085497e-05,0.00407088353020026,0.00368982107596909,PARK7/XBP1/RPL26/RPS3/RPS7/P4HB/GSTP1/ITM2C/LTB/LGALS3/TPT1/CD74/SLC25A6/MUC1,14
GO:0050851,GO:0050851,antigen receptor-mediated signaling pathway,10/189,215/18860,0.0465116279069767,4.64131905992371,5.40260496493298,6.42674440942756e-05,0.00407088353020026,0.00368982107596909,IGKC/IGHG3/IGHG4/IGHG1/RPS3/IGHA1/CD38/LGALS3/PHPT1/HLA-DPB1,10
GO:0006605,GO:0006605,protein targeting,12/189,319/18860,0.0376175548589342,3.75379409862169,4.99075984729608,9.39665873635522e-05,0.00574813464469293,0.00521007005043268,SEC61G/RPL11/LMAN1/SEC61A1/HSPA5/SSR3/NACA/SPCS2/SPCS3/TOMM7/SEC61B/SIL1,12
GO:0034620,GO:0034620,cellular response to unfolded protein,7/189,106/18860,0.0660377358490566,6.58979734451433,5.80642048028476,9.59318817562645e-05,0.00574813464469293,0.00521007005043268,DERL3/XBP1/MANF/DNAJB9/HSPA5/ERLEC1/AGR2,7
GO:0006414,GO:0006414,translational elongation,6/189,75/18860,0.08,7.98306878306878,6.09646092728454,0.000106130515674853,0.00619187771713548,0.00561227574579761,RPLP2/EEF1A1/RPLP1/EEF1B2/EEF2/EEF1D,6
GO:0036500,GO:0036500,ATF6-mediated unfolded protein response,3/189,10/18860,0.3,29.9365079365079,9.20866946646782,0.000112861082375616,0.00641571845196772,0.0058151634616748,XBP1/MANF/HSPA5,3
GO:0031397,GO:0031397,negative regulation of protein ubiquitination,6/189,78/18860,0.0769230769230769,7.67602767602768,5.94430321677109,0.000132060311563492,0.0069708978746729,0.00631837430513048,PARK7/RPL11/RPS3/RPL5/RPS7/RPL23,6
GO:0050853,GO:0050853,B cell receptor signaling pathway,6/189,78/18860,0.0769230769230769,7.67602767602768,5.94430321677109,0.000132060311563492,0.0069708978746729,0.00631837430513048,IGKC/IGHG3/IGHG4/IGHG1/IGHA1/CD38,6
