image_file,specimen_compartment,field_roi_type,roi_x,roi_y,tissue_fraction,dab_od_mean,weak_1plus_percent,moderate_2plus_percent,strong_3plus_percent,image_roi_hscore
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,768,256,0.73150634765625,0.734238382738626,6.585314977054652,15.022945348352106,78.39173967459324,271.8064246975386
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,0,512,0.2243499755859375,0.9303782296561038,9.929946269468816,8.501666326600013,81.56838740393117,271.6384411344623
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,256,512,0.8332366943359375,1.2061689912015088,2.4648854542457928,1.46501364293955,96.07010090281466,293.60521544856886
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,512,512,0.506134033203125,1.0553556398382846,6.035574314139282,3.7744950256255656,90.18993066023515,284.1543563460958
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,768,512,0.4008941650390625,0.7094434041046674,11.00749819206029,19.32021466905188,69.67228713888784,258.66478894682757
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,0,0,0.5569610595703125,0.7739441025060722,2.2382948412372263,28.88414016054355,68.87756499821923,266.63927015698204
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,256,0,0.721527099609375,1.3456093551126846,4.804804804804805,6.716575730660238,88.47861946453496,283.67381465973017
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,512,0,0.7716064453125,1.0221845713111328,5.187074829931973,15.422797025787057,79.39012814428096,274.20305331434895
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,768,0,0.5923614501953125,1.0883613611124074,11.975477190180573,12.320651193941423,75.703871615878,263.7283944256974
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,0,256,0.680816650390625,1.1830318367461696,1.476982383791295,12.015330135819625,86.50768748038908,285.0307050965978
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,256,256,0.9553680419921875,1.4075589061393834,3.116065867020172,4.971969781667758,91.91196435131206,288.7958984842919
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,512,256,0.9870147705078125,1.201884455167,0.7575171987323182,2.5121743835510553,96.73030841771663,295.9727912189843
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,768,256,0.9793548583984375,1.3269265916326844,0.9815683280619479,1.967810791019429,97.05062088091863,296.0690525528567
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,0,512,0.679840087890625,0.7948572628255512,3.07492032140773,25.535305472011494,71.38977420658078,268.3148538851731
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,256,512,0.9687957763671875,1.1586665606712345,2.156211116536202,10.790505740971161,87.05328314249263,284.8970720259564
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,512,512,0.985565185546875,1.3195910077487818,1.9012230995510142,5.562780616194457,92.53599628425452,290.63477318470353
S6H_PARK7_IHC_Surgery_matched_field_original_deidentified.png,Surgery,matched_field,768,512,0.95330810546875,1.2483728259749474,0.5538126640630002,2.881106344836417,96.56508099110059,296.0112683270376
