gene,distance,Z,FC,p.value,p.adj
CCNC,1.69439576014737e-09,0.0774030201180031,0.00816433799129635,0.928003743368752,0.999950297526443
YIPF4,1.6934729342361e-09,0.0770259365085186,0.00815544725736597,0.928042848484469,0.999950297526443
VEZF1,1.6932182414026e-09,0.0769218295348748,0.00815299433623412,0.928053641225384,0.999950297526443
YY1,1.69272698959327e-09,0.0767209853369754,0.0081482641814169,0.928074458312973,0.999950297526443
SNX29,1.69106686776029e-09,0.0760418432421051,0.008132289392718,0.928144807327176,0.999950297526443
MLLT10,1.689744965667e-09,0.0755006052175749,0.00811958038762893,0.92820082440624,0.999950297526443
VPS41,1.68742603658546e-09,0.074550160921006,0.0080973097945794,0.928299092478013,0.999950297526443
RUBCN,1.68711537106536e-09,0.0744227350486206,0.0080943285398877,0.928312257474976,0.999950297526443
ZNF394,1.68654294324904e-09,0.0741878828469055,0.00808883676043398,0.928336515160297,0.999950297526443
DNAJC2,1.68577674408805e-09,0.073873411281472,0.00808148888689104,0.928368984368242,0.999950297526443
SDHD,1.68552406809326e-09,0.0737696751784159,0.00807906644843174,0.928379692040442,0.999950297526443
ZFX,1.6830013947407e-09,0.0727331708830313,0.00805490115251204,0.928486596295189,0.999950297526443
NUP37,1.68001536631794e-09,0.0715043521595968,0.00802634404394844,0.928613137985808,0.999950297526443
KLHL6,1.67999183851329e-09,0.0714946615920375,0.00802611923537093,0.928614135052537,0.999950297526443
HNRNPR,1.67870801559579e-09,0.0709656861179756,0.00801385705830969,0.928668541365964,0.999950297526443
PLEKHB2,1.67723125162884e-09,0.0703567313641902,0.00799976363673053,0.928731124617553,0.999950297526443
STX18,1.67650485129331e-09,0.0700570054371257,0.0079928358232638,0.928761908639145,0.999950297526443
NAGK,1.67630501682663e-09,0.069974528207857,0.00799093049159792,0.928770377415686,0.999950297526443
LINC-PINT,1.67610150506708e-09,0.0698905235363222,0.0079889903320313,0.92877900204036,0.999950297526443
DNAJC30,1.67587398928369e-09,0.0697965989746408,0.00798682161131189,0.928788643941443,0.999950297526443
DOCK10,1.67576256586708e-09,0.0697505959524802,0.00798575961097819,0.92879336596298,0.999950297526443
PPP2CA,1.67476063266226e-09,0.0693367988219415,0.00797621314426836,0.928835827079894,0.999950297526443
MAP1LC3B,1.67368944706597e-09,0.0688941370612541,0.0079660131526138,0.928881223281119,0.999950297526443
IRF7,1.67201104167019e-09,0.0681999965867998,0.00795004424566362,0.928952353557564,0.999950297526443
DYNC1I2,1.67186499972722e-09,0.0681395661200388,0.00794865551176913,0.928958542794606,0.999950297526443
PSMD10,1.66905382741503e-09,0.0669753448233258,0.00792194730965484,0.929077680719644,0.999950297526443
MICAL3,1.66863124549747e-09,0.0668001733198185,0.0079179363570573,0.929095589945325,0.999950297526443
C16orf54,1.66722555148679e-09,0.0662171683314126,0.0079046014664691,0.929155164194509,0.999950297526443
BRD2,1.66582215257103e-09,0.0656346433357664,0.00789129955877949,0.929214641572111,0.999950297526443
MRPL18,1.66515959639131e-09,0.0653594644216783,0.00788502351122506,0.92924272146907,0.999950297526443
ZNF207,1.66394736592036e-09,0.0648557169769541,0.00787354715001618,0.929294097426061,0.999950297526443
UBE2A,1.66341733838946e-09,0.0646353508851313,0.00786853192876144,0.929316560797958,0.999950297526443
IRAK1,1.66328413659544e-09,0.0645799598229232,0.00786727179929129,0.929322206101184,0.999950297526443
EIF2AK4,1.66123788866035e-09,0.0637285047937032,0.00784792635393471,0.929408929779904,0.999950297526443
PEX2,1.66023934479856e-09,0.0633126388410581,0.007838494660203,0.929451250174473,0.999950297526443
TRMT6,1.65839704699359e-09,0.0625447408044081,0.00782110821606822,0.929529331163983,0.999950297526443
VPS37A,1.65820746235647e-09,0.062465672451971,0.00781932013134803,0.929537366253083,0.999950297526443
CNPPD1,1.65752835179593e-09,0.0621823705590807,0.00781291671607151,0.929566148780614,0.999950297526443
P2RY8,1.65501634935953e-09,0.061133477074859,0.00778925353824935,0.929672614983699,0.999950297526443
TSTD1,1.65202986484901e-09,0.0598844677794733,0.00776116741520942,0.929799192798899,0.999950297526443
NUB1,1.65107753929558e-09,0.059485728864445,0.00775222202279772,0.929839556110089,0.999950297526443
PHF5A,1.65104189943896e-09,0.0594708021543572,0.00775188735032732,0.929841066671216,0.999950297526443
MEA1,1.65015752340558e-09,0.0591003078481653,0.00774358502038492,0.929878550181774,0.999950297526443
NDUFS2,1.6483835494575e-09,0.0583565554194716,0.00772694474928908,0.929953738996691,0.999950297526443
EHD1,1.6483738966931e-09,0.0583525063167822,0.0077268542531678,0.929954148124994,0.999950297526443
FCGR2B,1.64731004277396e-09,0.0579061053184841,0.0077168837100283,0.929999239233149,0.999950297526443
AKIRIN1,1.64696297087386e-09,0.0577604113767624,0.00771363231074644,0.930013949813267,0.999950297526443
FKBP5,1.64692691773983e-09,0.0577452752884982,0.00771329460117971,0.930015477920245,0.999950297526443
CDK12,1.64363651241987e-09,0.0563625296971799,0.00768250451326142,0.930154942369251,0.999950297526443
NDUFAF2,1.64297742722185e-09,0.0560852385240178,0.00767634450187998,0.930182878077449,0.999950297526443
TCEAL8,1.64287714385606e-09,0.056043037798168,0.00767540743949888,0.930187128653585,0.999950297526443
SLC9A3R1,1.64233869851921e-09,0.0558164096443538,0.00767037710584461,0.93020995104587,0.999950297526443
PARVG,1.6417264132921e-09,0.0555586158938597,0.00766465893925436,0.930235903264669,0.999950297526443
HSPB11,1.64002941426971e-09,0.05484363555192,0.00764882171301753,0.930307832367867,0.999950297526443
EHD4,1.63930697200261e-09,0.0545390398717249,0.00764208449846436,0.930338454022293,0.999950297526443
GMDS,1.63908136283021e-09,0.0544438922066848,0.00763998116364359,0.930348016781416,0.999950297526443
MDH1,1.63886374337620e-09,0.0543521021612827,0.00763795259057132,0.930357240894721,0.999950297526443
NDE1,1.63869685277647e-09,0.0542817011735911,0.00763639707677077,0.930364314798972,0.999950297526443
CWC15,1.63580719602352e-09,0.0530616360120948,0.00760948897550061,0.930486798034813,0.999950297526443
CD2AP,1.63415967116513e-09,0.0523650929895941,0.00759416869941418,0.93055663204042,0.999950297526443
REV3L,1.6339030307892e-09,0.0522565293816103,0.00759178359922604,0.930567510361726,0.999950297526443
SPAG7,1.63365189090346e-09,0.0521502767010889,0.00758944998076477,0.930578155544048,0.999950297526443
VAV1,1.63196030074128e-09,0.0514341863004586,0.00757374089094151,0.930649858080959,0.999950297526443
SEC31A,1.62954919997528e-09,0.0504122747833834,0.00755137813765951,0.930752059956537,0.999950297526443
BBIP1,1.62871957464364e-09,0.0500603132589108,0.00754369107937198,0.930787226426139,0.999950297526443
FIBP,1.62839400028954e-09,0.0499221439733993,0.00754067547507334,0.930801027030849,0.999950297526443
RRAS2,1.62806008707279e-09,0.0497804081824587,0.00753758325900706,0.930815181128954,0.999950297526443
IREB2,1.62804361698049e-09,0.0497734164161023,0.0075374307535007,0.930815879272902,0.999950297526443
RSU1,1.62736482395332e-09,0.0494852008265667,0.00753114678323874,0.930844652396792,0.999950297526443
AZIN1,1.62581512738657e-09,0.0488267658738004,0.00751681018808438,0.9309103422896,0.999950297526443
FMNL3,1.62501335939604e-09,0.0484858737379021,0.0075093982115806,0.930944328516856,0.999950297526443
KCNN4,1.624068064703e-09,0.0480837496646232,0.00750066409311093,0.930984398874274,0.999950297526443
PFKL,1.62334899540091e-09,0.0477777100405327,0.00749402360383034,0.931014879818365,0.999950297526443
PPP2R5C,1.62315618835067e-09,0.0476956281891993,0.0074922435617281,0.931023052818204,0.999950297526443
EIF2AK1,1.61964987459968e-09,0.0462012811832134,0.00745990929513435,0.931171685070885,0.999950297526443
DPP8,1.61795614819186e-09,0.045478321157288,0.00744431525952286,0.931243482806383,0.999950297526443
COMMD8,1.61786994861131e-09,0.045441507761272,0.00744352206156166,0.931247136855824,0.999950297526443
SVBP,1.61753933210875e-09,0.0453002933313464,0.00744048016096697,0.931261151891597,0.999950297526443
NHSL2,1.61740157302758e-09,0.0452414448486545,0.00743921286558461,0.931266991589602,0.999950297526443
CERS4,1.6166910811231e-09,0.0449378574549057,0.00743267850862843,0.931297109867213,0.999950297526443
COQ7,1.61398146362489e-09,0.0437788807266354,0.00740778465150346,0.931411973460811,0.999950297526443
STK25,1.61379232856116e-09,0.0436979126724234,0.00740604858481229,0.931419991152498,0.999950297526443
C12orf75,1.61346357731449e-09,0.0435571536966895,0.00740303146833873,0.931433927379963,0.999950297526443
SUPT5H,1.61324298122467e-09,0.0434626872414949,0.00740100729106114,0.931443278770083,0.999950297526443
TERF1,1.61244507988617e-09,0.0431208960232545,0.00739368810438664,0.931477103051057,0.999950297526443
COQ4,1.61188825634102e-09,0.0428822771519397,0.00738858248086156,0.931500707742058,0.999950297526443
RBM5,1.61184141786786e-09,0.0428622015699131,0.00738815309018532,0.931502693306831,0.999950297526443
KIF5B,1.61123562222162e-09,0.0426024990558556,0.00738260059618814,0.931528374081891,0.999950297526443
NOP58,1.61018150727951e-09,0.0421503795980087,0.00737294395273142,0.931573060094112,0.999950297526443
PABPN1,1.60978741618556e-09,0.041981277229067,0.00736933534592362,0.931589766448547,0.999950297526443
RTCA,1.60973591456798e-09,0.0419591752198098,0.00736886382202439,0.931591949713199,0.999950297526443
SCNM1,1.60728383057409e-09,0.0409060711104734,0.00734643118483441,0.93169589943789,0.999950297526443
LIPA,1.60687586728382e-09,0.0407307119104017,0.00734270229287407,0.931713194093831,0.999950297526443
COMMD4,1.60539797553323e-09,0.0400950951858204,0.00732920189867265,0.93177584615116,0.999950297526443
LACTB2,1.60466243590504e-09,0.039778541981567,0.00732248744711313,0.931807027936841,0.999950297526443
FADS3,1.60445939043884e-09,0.0396911329922893,0.00732063446697421,0.931815635676693,0.999950297526443
RBM4,1.60420659771244e-09,0.0395822934459637,0.00731832782416385,0.931826352371475,0.999950297526443
FAM50A,1.60303155856563e-09,0.0390761653457744,0.00730761078521591,0.931876166213343,0.999950297526443
IGHM,1.60024940448651e-09,0.0378763755624712,0.00728226723371826,0.931994112099102,0.999950297526443
METAP2,1.59892478790795e-09,0.0373044361297174,0.00727021633774702,0.932050268060113,0.999950297526443
ST14,1.59867678200035e-09,0.0371973021410946,0.00726796117630253,0.932060782091198,0.999950297526443
