sample,cell_group,threshold_method,score,n_high,n_low,lower_cutoff,upper_cutoff,mean_high,mean_low,delta_high_minus_low,mannwhitney_p,mannwhitney_fdr
GSM4453576_P1,B-lineage combined,within_sample_positive_quartiles,NRF2_redox_score,24,24,7.467165523738305,8.362600767281826,4.372396842429122,4.936051881485952,-0.5636550390568296,0.3808478181551693,0.3808478181551693
GSM4453576_P1,B-lineage combined,within_sample_positive_quartiles,Ribosome_translation_score,24,24,7.467165523738305,8.362600767281826,8.461035960981699,9.667041099005283,-1.2060051380235848,0.031181114443719026,0.04157481925829203
GSM4453576_P1,B-lineage combined,within_sample_positive_quartiles,Apoptosis_DDR_score,24,24,7.467165523738305,8.362600767281826,1.9144813487682342,2.9536766823003773,-1.039195333532143,0.005896700179400514,0.023586800717602056
GSM4453576_P1,B-lineage combined,detected_vs_undetected,UPR_ER_stress_score,96,183,0.0,0.0,6.382116519795346,6.301571511766674,0.08054500802867182,0.4011798828472708,0.4011798828472708
GSM4453576_P1,B-lineage combined,detected_vs_undetected,NRF2_redox_score,96,183,0.0,0.0,4.301549970771878,1.9204915011147157,2.381058469657162,9.544333600117822e-19,3.817733440047129e-18
GSM4453576_P1,B-lineage combined,detected_vs_undetected,Ribosome_translation_score,96,183,0.0,0.0,8.984981888623874,7.837929014104876,1.147052874518998,7.986427377505944e-08,1.5972854755011887e-07
GSM4453576_P1,B-lineage combined,detected_vs_undetected,Apoptosis_DDR_score,96,183,0.0,0.0,2.169215731604408,1.5927484958260227,0.5764672357783853,0.000345516271027997,0.0004606883613706627
GSM4453577_P2,B-lineage combined,within_sample_positive_median,UPR_ER_stress_score,4,7,,8.037900370181985,4.770385287972129,3.70027294321655,1.0701123447555787,0.7878787878787878,0.7878787878787878
GSM4453577_P2,B-lineage combined,within_sample_positive_median,NRF2_redox_score,4,7,,8.037900370181985,3.88702747590488,2.7643889009944185,1.1226385749104617,0.635832942905231,0.7878787878787878
GSM4453577_P2,B-lineage combined,within_sample_positive_median,Ribosome_translation_score,4,7,,8.037900370181985,9.596038835966747,9.28732144427376,0.30871739169298706,0.3151515151515151,0.6669406765237753
GSM4453577_P2,B-lineage combined,within_sample_positive_median,Apoptosis_DDR_score,4,7,,8.037900370181985,3.0334769914681488,1.71999763093174,1.3134793605364088,0.33347033826188766,0.6669406765237753
GSM4453577_P2,B-lineage combined,detected_vs_undetected,UPR_ER_stress_score,7,4,0.0,0.0,5.490358456694416,1.6377356393858629,3.8526228173085535,0.07272727272727272,0.09696969696969697
GSM4453577_P2,B-lineage combined,detected_vs_undetected,NRF2_redox_score,7,4,0.0,0.0,4.54692655471754,0.7675865818894186,3.779339972828122,0.010555543856643567,0.04222217542657427
GSM4453577_P2,B-lineage combined,detected_vs_undetected,Ribosome_translation_score,7,4,0.0,0.0,10.195190246258445,8.007268432493547,2.1879218137648984,0.3151515151515151,0.3151515151515151
GSM4453577_P2,B-lineage combined,detected_vs_undetected,Apoptosis_DDR_score,7,4,0.0,0.0,3.2413330200754364,0.3711400604666811,2.8701929596087554,0.03335994528868356,0.06671989057736712
GSM4453578_P3,Plasma cells,within_sample_positive_median,UPR_ER_stress_score,5,29,,7.965091854698246,5.980528121559782,4.990368925200866,0.990159196358916,0.39288281294922656,0.603336495888678
GSM4453578_P3,Plasma cells,within_sample_positive_median,NRF2_redox_score,5,29,,7.965091854698246,5.276711608274465,2.928304278615095,2.3484073296593704,0.009937688779228234,0.039750755116912936
GSM4453578_P3,Plasma cells,within_sample_positive_median,Ribosome_translation_score,5,29,,7.965091854698246,8.611450273541605,7.7476032193612046,0.8638470541804004,0.603336495888678,0.603336495888678
GSM4453578_P3,Plasma cells,within_sample_positive_median,Apoptosis_DDR_score,5,29,,7.965091854698246,1.1792163849438553,1.66574524573868,-0.4865288607948248,0.5820343475221885,0.603336495888678
GSM4453578_P3,Plasma cells,detected_vs_undetected,UPR_ER_stress_score,9,25,0.0,0.0,6.704235751952186,4.571408706842175,2.1328270451100106,0.01392205756383962,0.02784411512767924
GSM4453578_P3,Plasma cells,detected_vs_undetected,NRF2_redox_score,9,25,0.0,0.0,5.209194451345644,2.576865282363971,2.6323291689816726,0.0004408907834391018,0.001763563133756407
GSM4453578_P3,Plasma cells,detected_vs_undetected,Ribosome_translation_score,9,25,0.0,0.0,9.191842892767916,7.4004463477708695,1.7913965449970464,0.06096790529868448,0.08129054039824597
GSM4453578_P3,Plasma cells,detected_vs_undetected,Apoptosis_DDR_score,9,25,0.0,0.0,2.296007695476762,1.341544991674006,0.9544627038027558,0.24405931271993697,0.24405931271993697
GSM4453578_P3,B-lineage combined,within_sample_positive_median,UPR_ER_stress_score,5,33,,7.965091854698246,5.980528121559782,4.8609759605108,1.1195521610489827,0.2900335098477513,0.5800670196955026
GSM4453578_P3,B-lineage combined,within_sample_positive_median,NRF2_redox_score,5,33,,7.965091854698246,5.276711608274465,2.8457546774592175,2.4309569308152477,0.006505587910913941,0.026022351643655763
GSM4453578_P3,B-lineage combined,within_sample_positive_median,Ribosome_translation_score,5,33,,7.965091854698246,8.611450273541605,7.660689658695431,0.9507606148461738,0.5011774268740213,0.6682365691653618
GSM4453578_P3,B-lineage combined,within_sample_positive_median,Apoptosis_DDR_score,5,33,,7.965091854698246,1.1792163849438553,1.4638367311036886,-0.28462034615983334,0.8210040852383539,0.8210040852383539
GSM4453578_P3,B-lineage combined,detected_vs_undetected,UPR_ER_stress_score,9,29,0.0,0.0,6.704235751952186,4.481956053002953,2.222279698949232,0.007403309537990848,0.014806619075981697
GSM4453578_P3,B-lineage combined,detected_vs_undetected,NRF2_redox_score,9,29,0.0,0.0,5.209194451345644,2.5314038736350244,2.6777905777106192,0.0002723044461292446,0.0010892177845169785
GSM4453578_P3,B-lineage combined,detected_vs_undetected,Ribosome_translation_score,9,29,0.0,0.0,9.191842892767916,7.349428416198136,1.8424144765697799,0.0427883872005614,0.057051182934081866
GSM4453578_P3,B-lineage combined,detected_vs_undetected,Apoptosis_DDR_score,9,29,0.0,0.0,2.296007695476762,1.1565043031672466,1.1395033923095153,0.12184125825884762,0.12184125825884762
